id,ch0,ch1,ch2,ch3,accel0,accel1,accel2,timestamp
191, 13.18, -10.73, 6.51, -12.09, 0.000, 0.000, 0.000, 12:40:13.981
192, 2.10, 8.04, 11.71, 17.11, 0.000, 0.000, 0.000, 12:40:13.981
193, 3.99, 44.99, 13.51, 16.94, 0.000, 0.000, 0.000, 12:40:13.995
194, 9.81, -2.37, 2.49, -12.55, 0.000, 0.000, 0.000, 12:40:13.995
195, 9.31, -10.11, 7.01, 13.07, 0.000, 0.000, 0.000, 12:40:14.009
196, 1.08, 37.86, 8.92, 21.06, 0.000, 0.000, 0.000, 12:40:14.009
197, 10.10, 21.83, 3.66, -13.65, 0.000, 0.000, 0.000, 12:40:14.010
198, 14.33, -16.40, 5.94, -3.56, 0.000, 0.000, 0.000, 12:40:14.010
199, -2.74, 26.09, 10.29, 26.33, 0.000, 0.000, 0.000, 12:40:14.024
200, 8.44, 35.66, 7.33, 0.98, 0.000, 0.000, 0.000, 12:40:14.024
0, 15.71, -11.45, 5.36, -9.10, 0.000, 0.000, 0.000, 12:40:14.025
1, 1.36, 6.02, 7.68, 20.12, 0.000, 0.000, 0.000, 12:40:14.040
2, 2.53, 36.32, 10.28, 17.48, 0.000, 0.000, 0.000, 12:40:14.040
3, 14.37, -2.61, 7.44, -11.88, 0.000, 0.000, 0.000, 12:40:14.054
4, 9.68, -10.66, 11.92, 8.21, 0.000, 0.000, 0.000, 12:40:14.054
5, 2.45, 35.53, 9.68, 27.74, 0.000, 0.000, 0.000, 12:40:14.056
6, 7.21, 16.43, 3.11, -4.72, 0.000, 0.000, 0.000, 12:40:14.056
7, 9.32, -12.44, 7.09, -2.15, 0.000, 0.000, 0.000, 12:40:14.080
8, 2.07, 23.80, 10.16, 28.64, 0.000, 0.000, 0.000, 12:40:14.080
9, 5.94, 29.16, 8.02, 4.56, 0.000, 0.000, 0.000, 12:40:14.084
10, 13.77, -11.94, 14.07, -10.98, 0.000, 0.000, 0.000, 12:40:14.084
11, 4.01, 4.76, 7.73, 17.22, 0.000, 0.000, 0.000, 12:40:14.086
12, 2.99, 40.48, 10.21, 14.74, 0.000, 0.000, 0.000, 12:40:14.086
13, 16.90, -0.54, 5.79, -10.45, 0.000, 0.000, 0.000, 12:40:14.100
14, 6.14, -6.49, 7.96, 7.58, 0.000, 0.000, 0.000, 12:40:14.100
15, 1.08, 36.23, 9.18, 22.10, 0.000, 0.000, 0.000, 12:40:14.114
16, 7.96, 18.93, 6.20, -8.47, 0.000, 0.000, 0.000, 12:40:14.114
17, 16.26, -15.70, 6.29, -7.38, 0.000, 0.000, 0.000, 12:40:14.116
18, 0.55, 19.84, 9.50, 22.86, 0.000, 0.000, 0.000, 12:40:14.116
19, 9.38, 31.62, 12.39, 5.02, 0.000, 0.000, 0.000, 12:40:14.130
20, 15.13, -14.58, 4.48, -14.31, 0.000, 0.000, 0.000, 12:40:14.130
21, 5.12, 5.14, 10.88, 23.81, 0.000, 0.000, 0.000, 12:40:14.144
22, 0.06, 39.58, 8.34, 16.89, 0.000, 0.000, 0.000, 12:40:14.153
23, 9.24, 0.65, 3.17, -12.79, 0.000, 0.000, 0.000, 12:40:14.153
24, 7.78, -8.19, 8.75, 7.22, 0.000, 0.000, 0.000, 12:40:14.153
25, 1.62, 39.57, 9.40, 24.43, 0.000, 0.000, 0.000, 12:40:14.160
26, 10.65, 18.43, 9.63, -12.32, 0.000, 0.000, 0.000, 12:40:14.160
27, 11.24, -17.18, 8.15, -0.96, 0.000, 0.000, 0.000, 12:40:14.174
28, 2.38, 21.60, 10.51, 22.25, 0.000, 0.000, 0.000, 12:40:14.174
29, 7.60, 33.51, 11.96, 5.68, 0.000, 0.000, 0.000, 12:40:14.175
